name	gender	age_group	swim	T1	bike	T2	run	total	year	competition
Jón Oddur Guðmundsson	M	40.0	0:32:49	0:03:55	2:39:46	0:03:02	1:30:35	4:50:07	2016	Ironman 70.3 Kronborg - Danmörku
Kristín Laufey Steinadóttir	F	35.0	0:30:24	0:03:50	2:41:42	0:02:30	1:45:57	5:04:23	2016	Challenge Almere-Amsterdam
Rúnar Örn Ágústsson	M	30.0	0:29:00	0:01:32	2:14:00	0:00:29	1:17:31	4:02:32	2016	Herbalife Hálfur Járnmaður
Steinn Jóhannsson	M	40.0	0:28:31		2:31:10		1:23:32	4:23:13	2010	Ísland 
Torben Gregersen	M	35.0	0:29:45		2:21:04		1:36:12	4:27:02	2010	Ísland 
Hákon Hrafn Sigurðsson	M	35.0	0:36:54		2:21:51		1:35:19	4:34:06	2010	Ísland 
Vignir Þór Sverrisson	M	30.0	0:34:55		2:36:16		1:31:25	4:42:37	2010	Ísland 
Gylfi Guðnason	M	40.0	0:33:54		2:37:24		1:32:43	4:44:02	2010	Ísland 
Helgi Hinriksson	M	35.0	0:34:35		2:34:51		1:40:43	4:50:11	2010	Ísland 
Trausti Valdimarsson	M	50.0	0:36:18		2:41:13		1:38:56	4:56:28	2010	Ísland 
Erlendur Birgisson	M	50.0	0:37:29		2:41:11		1:48:54	5:07:35	2010	Ísland 
Einar Finnur Valdimarsson	M	40.0	0:46:10		2:50:48		1:36:59	5:13:58	2010	Ísland 
Baldur Már Helgason	M	30.0	0:31:33		2:51:03		1:54:50	5:17:27	2010	Ísland 
Helga Árnadóttir	F	30.0	0:40:50		2:58:15		1:41:05	5:20:11	2010	Ísland 
Bergþór Jóhannsson	M	40.0	0:31:28		2:43:18		2:11:16	5:26:03	2010	Ísland 
Hulda Björk Pálsdóttir	F	45.0	0:36:57		2:58:39		1:51:30	5:27:07	2010	Ísland 
Geir Ómarsson	M	35.0	0:47:35		2:59:49		1:40:48	5:28:14	2010	Ísland 
Kristbjörn R. Sigurjónsson	M	50.0	0:45:13		2:47:21		1:56:26	5:29:01	2010	Ísland 
Oddgeir Gylfason	M	50.0	0:33:22		3:02:06		1:53:51	5:29:19	2010	Ísland 
Sigurður Ingvarsson	M	50.0	0:48:04		3:04:21		1:38:49	5:31:14	2010	Ísland 
Oddur Kristjánsson	M	45.0	0:44:24		3:02:07		1:46:34	5:33:07	2010	Ísland 
Bjarki Þórarinsson	M	25.0	0:42:31		2:48:14		2:03:24	5:34:10	2010	Ísland 
Pétur Haukur Helgason	M	50.0	0:46:57		3:02:29		1:45:31	5:34:58	2010	Ísland 
Halldór Daðason	M	40.0	0:42:43		2:53:15		2:04:30	5:40:29	2010	Ísland 
Jasper Rasmussen	M	50.0	0:41:04		3:11:24		1:49:43	5:42:12	2010	Ísland 
Margrét Pálsdóttir	F	30.0	0:52:01		3:05:18		1:53:06	5:50:25	2010	Ísland 
Haukur J. Eiríksson	M	40.0	0:46:14		3:07:40		1:57:28	5:51:23	2010	Ísland 
Dariuz Hubicki	M	35.0	0:44:57		3:16:12		1:54:50	5:56:00	2010	Ísland 
Gísli Ásgeirsson	M	55.0	0:43:42		3:03:13		2:10:11	5:57:07	2010	Ísland 
Jón Páll Pálsson	M	40.0	0:45:15		3:15:13		2:09:41	6:10:10	2010	Ísland 
Stefanie Gregersen	F	30.0	0:43:22		3:07:22		2:21:26	6:12:11	2010	Ísland 
Hrund Ósk Árnadóttir	F	25.0	0:40:58		3:22:51		2:09:42	6:13:32	2010	Ísland 
Corinna Hoffmann	F	35.0	0:46:40		3:21:07		2:14:05	6:21:53	2010	Ísland 
Rannveig Halldórsdóttir	F	45.0	1:02:00		3:32:03		2:00:52	6:34:56	2010	Ísland 
Hákon Hrafn Sigurðsson	M		0:32:42		2:25:13		1:32:31	4:30:26	2011	2XU Ísland
Torben Gregersen	M		0:30:38		2:29:52		1:33:56	4:34:27	2011	2XU Ísland
Helgi Hinriksson	M		0:31:04		2:29:00		1:39:52	4:39:57	2011	2XU Ísland
Gylfi Guðnason	M		0:33:41		2:39:16		1:41:52	4:54:49	2011	2XU Ísland
Arnar Geirsson	M		0:41:14		2:37:57		1:35:47	4:54:58	2011	2XU Ísland
Magnús Sigurjónsson	M		0:37:11		2:35:32		1:44:26	4:57:10	2011	2XU Ísland
Ásmundur Helgi Steindórsson	M		0:32:05		2:42:06		1:43:38	4:57:50	2011	2XU Ísland
Viðar Bragi Þorsteinsson	M		0:32:33		2:43:21		1:42:56	4:58:51	2011	2XU Ísland
Einar Finnur Valdimarsson	M		0:43:04		2:42:01		1:35:49	5:00:55	2011	2XU Ísland
Geir Ómarsson	M		0:38:45		2:47:51		1:36:48	5:03:25	2011	2XU Ísland
Oddur Kristjánsson	M		0:38:22		2:48:43		1:37:22	5:04:28	2011	2XU Ísland
Hörður Guðmundsson	M		0:27:47		2:53:34		1:47:36	5:08:58	2011	2XU Ísland
Guðjón Traustason	M		0:42:18		2:47:21		1:44:37	5:14:18	2011	2XU Ísland
Jón Sigþór Jónsson	M		0:34:48		2:44:03		1:57:17	5:16:09	2011	2XU Ísland
Trausti Valdimarsson	M		0:35:27		2:49:00		1:53:39	5:18:07	2011	2XU Ísland
Klemenz Sæmundsson	M		0:49:57		2:46:52		1:42:22	5:19:12	2011	2XU Ísland
Birgir Gilbertsson	M		0:00:00		3:35:42		1:46:09	5:21:51	2011	2XU Ísland
Birna Björnsdóttir	F		0:32:32		3:01:28		1:50:17	5:24:18	2011	2XU Ísland
Guðmundur Gíslason	M		0:43:44		2:50:59		1:51:25	5:26:10	2011	2XU Ísland
Guðmundur Þorleifsson	M		0:46:04		2:56:03		1:48:34	5:30:43	2011	2XU Ísland
Sigurður H. Sigurðsson	M		0:42:48		3:09:17		1:40:42	5:32:48	2011	2XU Ísland
Dariusz Hubicki	M		0:41:42		2:59:14		1:54:17	5:35:13	2011	2XU Ísland
Ólafur Þór Gunnarsson	M		0:51:45		2:53:50		1:51:04	5:36:40	2011	2XU Ísland
Jakob Schweitz Þorsteinsson	M		0:39:57		3:12:30		1:44:26	5:36:53	2011	2XU Ísland
Kristín Laufey Steinadóttir	F		0:34:05		3:12:33		1:50:30	5:37:09	2011	2XU Ísland
Óttar Þórarinsson	M		0:45:01		2:54:58		1:57:48	5:37:48	2011	2XU Ísland
Erlendur Birgisson	M		0:40:13		3:00:08		1:58:33	5:38:55	2011	2XU Ísland
Steindór Gunnarsson	M		0:39:05		3:05:04		1:58:02	5:42:12	2011	2XU Ísland
Pétur Helgason	M		0:52:41		3:05:24		1:44:16	5:42:22	2011	2XU Ísland
Þröstur Egill Kristjánsson	M		0:31:32		3:10:18		2:02:03	5:43:54	2011	2XU Ísland
Ingi Már Helgason	M		0:41:55		2:55:20		2:14:38	5:51:54	2011	2XU Ísland
Davíð Elvar Marinósson	M		0:37:02		3:10:34		2:07:52	5:55:29	2011	2XU Ísland
Pétur Einarsson	M		0:44:15		3:13:53		1:57:24	5:55:34	2011	2XU Ísland
Corinna Hoffmann	F		0:41:37		3:11:18		2:02:48	5:55:44	2011	2XU Ísland
Pétur Pétursson	M		0:43:13		3:07:16		2:10:18	6:00:48	2011	2XU Ísland
Evgenia IIyinskaya	F		0:40:52		3:37:12		1:59:24	6:17:29	2011	2XU Ísland
Estanislao Plantada Siurans	M		0:39:35		3:37:05		2:13:54	6:30:35	2011	2XU Ísland
Steinn Jóhannsson	M	40.0	0:27:56		2:34:54		1:27:03	4:29:53	2009	Ísland 
Torben Gregersen	M	35.0	0:28:12		2:28:27		1:39:26	4:36:05	2009	Ísland 
Gylfi Guðnason	M	40.0	0:32:37		2:48:20		1:44:23	5:05:20	2009	Ísland 
Trausti Valdimarsson	M	50.0	0:34:39		2:55:33		1:41:48	5:12:00	2009	Ísland 
Erlendur Birgisson	M	50.0	0:34:37		3:08:36		1:45:33	5:28:46	2009	Ísland 
Guðmundur Guðnason	M	40.0	0:47:56		3:02:55		1:41:18	5:32:09	2009	Ísland 
Eva Margrét Einarsdóttir	F	35.0	0:43:20		3:10:21		1:46:21	5:40:02	2009	Ísland 
Heimir Hansson	M	40.0	0:43:50		3:02:44		1:55:51	5:42:25	2009	Ísland 
Dagur Egonsson	M	45.0	0:34:44		3:25:34		1:46:24	5:46:42	2009	Ísland 
Kristbjörn Sigurjónsson	M	45.0	0:47:54		3:03:21		2:01:29	5:52:44	2009	Ísland 
Gísli Ásgeirsson	M	50.0	0:39:01		3:12:59		2:01:08	5:53:08	2009	Ísland 
Einar Ágúst Yngvason	M	45.0	0:40:27		3:20:21		2:02:40	6:03:28	2009	Ísland 
