name	gender	age_group	swim	T1	bike	T2	run	total	year	competition
Nadia Ingwar	F	30							2017	Ironman 70.3 Elsinore 2017
Haraldur Juliusson	M	50	00:48:27	00:13:15	02:51:08	00:05:00	02:01:56	05:59:46	2017	Ironman 70.3 Elsinore 2017
Gudrun Geirsdottir	F	45	00:42:24	00:12:24	02:53:04	00:03:58	02:17:40	06:09:30	2017	Ironman 70.3 Elsinore 2017
Olafur Einarsson	M	45	00:44:55	00:09:18	02:48:05	00:03:36	02:31:57	06:17:51	2017	Ironman 70.3 Elsinore 2017
Hrafnkell Elisson	M	40	00:55:03	00:16:52	03:19:56	00:07:12	02:29:00	07:08:03	2017	Ironman 70.3 Elsinore 2017
Svanhvit Michelsen	F	40	00:42:54	00:14:26	03:22:51	00:06:12	02:46:36	07:12:59	2017	Ironman 70.3 Elsinore 2017
Gudbjorg Bjornsdottir	F	50	01:03:58	00:12:37	03:30:51	00:06:43	02:35:18	07:29:27	2017	Ironman 70.3 Elsinore 2017
Gudmunda Magnusdottir	F	55	00:50:57	00:15:33	03:49:13	00:07:04	02:31:39	07:34:26	2017	Ironman 70.3 Elsinore 2017
Erlingur Erlingsson	M	45							2017	Ironman 70.3 Chattanooga 2017
David Berg Einarsson	M	30	00:40:44	00:06:27	03:29:08	00:04:36			2017	Ironman 70.3 Zell am See-Kaprun 2017
Hildur Koke	F	30		00:00:00		00:00:00			2017	Ironman 70.3 Edinburgh 2017
Gunnar Gunnarsson	M	45							2017	Ironman 70.3 Barcelona 2017
Hansina Gunnarsdottir	F	35							2017	Ironman 70.3 Barcelona 2017
Bjarni Gunnarsson	M	35	00:45:29	00:08:18	03:33:25	00:05:41	01:54:31	06:27:24	2017	Ironman 70.3 Barcelona 2017
Abel Anguiano	M	30	00:45:17	00:09:50	03:44:29	00:06:05	02:17:26	07:03:07	2017	Ironman 70.3 Barcelona 2017
Rick Armiger	M	45	00:38:30	00:08:07	02:39:06				2017	Ironman 70.3 Eagleman 2017
Rick Armiger	M	45							2017	Ironman 70.3 Texas 2017
Geir Omarsson	M	40	00:35:41	00:02:25	02:24:50	00:02:17	01:28:34	04:33:47	2017	Ironman 70.3 Florida 2017
Audur Thorisdottir	F	40	00:57:41	00:04:25	03:11:56	00:08:31	02:11:06	06:33:39	2017	Ironman 70.3 Florida 2017
Pall Olafsson	M	35	00:41:34	00:02:48	02:33:01	00:01:32	01:46:13	05:05:08	2017	Ironman 70.3 Miami 2017
Mar Thorarinsson	M	45	00:49:49	00:03:40	02:45:07	00:01:28	01:50:01	05:30:05	2017	Ironman 70.3 Miami 2017
Hjordis Olafsdottir	F	35	00:35:28	00:04:21	02:39:23	00:05:40	01:41:16	05:06:08	2017	Ironman 70.3 Dublin 2017
Jaliesky Garcia	M	40	00:41:27	00:08:23	02:41:10	00:04:57	02:30:07	06:06:04	2017	Ironman 70.3 Puerto Rico 2017
Gudrun Geirsdottir	F	45	00:45:37	00:07:54	03:03:02	00:04:09	02:17:39	06:18:21	2017	Ironman 70.3 Jönköping 2017
Sigurgeir Sveinsson	M	18	00:40:29	00:07:55	03:58:37	00:05:21	02:37:12	07:29:34	2017	Ironman 70.3 Otepaa 2017
Sonia Ashkenazy	F	40	00:38:15				01:54:08		2018	Ironman 70.3 Zell am See-Kaprun 2018
Dagny Jonsdottir	F	30	00:32:10				01:45:27		2018	Ironman 70.3 Zell am See-Kaprun 2018
Sandra Morthens	F	35							2018	Ironman 70.3 Indian Wells La Quinta 2018
Hulda Bjarnadottir	F	45							2018	Ironman 70.3 Indian Wells La Quinta 2018
Thelma Sigurdardottir	F	50							2018	Ironman 70.3 Indian Wells La Quinta 2018
Sigurdur Magnus Sigurdsson	M	40							2018	Ironman 70.3 Indian Wells La Quinta 2018
Mar Thorarinsson	M	45	00:41:08	00:07:13	02:38:27	00:03:23	01:45:39	05:15:50	2018	Ironman 70.3 Indian Wells La Quinta 2018
Sandra Osk Sigurdardottir	F	35	00:37:45	00:06:05	02:55:49	00:05:45	02:25:39	06:11:03	2018	Ironman 70.3 Indian Wells La Quinta 2018
Sigridur Erlendsdottir	F	35	00:51:44	00:08:41	03:07:20	00:03:43	02:22:46	06:34:14	2018	Ironman 70.3 Indian Wells La Quinta 2018
Unnur Palsdottir	F	45	00:52:34	00:08:58	03:00:32	00:08:34	02:49:00	06:59:38	2018	Ironman 70.3 Indian Wells La Quinta 2018
Gudrun Hoskuldsdottir	F	35							2018	Ironman 70.3 Elsinore 2018
Haraldur Juliusson	M	50							2018	Ironman 70.3 Elsinore 2018
Sigurdur Nikulasson	M	45	00:34:41	00:07:52	02:27:49	00:02:45	01:41:53	04:55:00	2018	Ironman 70.3 Elsinore 2018
Birna Jonsdottir	F	45	00:31:53	00:05:11	02:30:09	00:02:50	01:53:17	05:03:20	2018	Ironman 70.3 Elsinore 2018
Kristin Vala Matthiasdottir	F	35	00:33:01	00:05:54	02:39:54	00:02:36	01:54:35	05:16:00	2018	Ironman 70.3 Elsinore 2018
Sigridur Gudmundsdottir	F	40	00:33:44	00:06:44	02:44:38	00:02:33	01:55:34	05:23:13	2018	Ironman 70.3 Elsinore 2018
Armann E. Lund	M	45	00:38:17	00:06:35	02:49:41	00:03:34	01:58:25	05:36:32	2018	Ironman 70.3 Elsinore 2018
Jon Ãgust Gunnlaugsson	M	55	00:40:48	00:08:37	03:02:29	00:02:52	02:06:23	06:01:09	2018	Ironman 70.3 Elsinore 2018
Inga Rut Jonsdottir	F	40	00:50:41	00:08:48	03:21:16	00:04:08	02:07:09	06:32:02	2018	Ironman 70.3 Elsinore 2018
Johann Kristinsson	M	45							2018	Ironman 70.3 Barcelona 2018
Eva Jonasdottir	F	40	01:08:39	00:07:13					2018	Ironman 70.3 Barcelona 2018
Mar Thorarinsson	M	45	00:49:59	00:06:12	03:40:12	00:05:15			2018	Ironman 70.3 Barcelona 2018
Gestur Hreinsson	M	50							2018	Ironman 70.3 Barcelona 2018
Sigridur Erlendsdottir	F	35							2018	Ironman 70.3 Barcelona 2018
Maria Ogn Gudmundsdottir	F	35							2018	Ironman 70.3 Barcelona 2018
Elisabet Einarsdottir	F	45							2018	Ironman 70.3 Barcelona 2018
Erna Gudmundsdottir	F	35							2018	Ironman 70.3 Barcelona 2018
Bryndis Ernstsdottir	F	45	00:30:49	00:05:12	03:11:02	00:03:10			2018	Ironman 70.3 Barcelona 2018
Hansina Gunnarsdottir	F	35							2018	Ironman 70.3 Barcelona 2018
Lovisa Sigurdardottir	F	45							2018	Ironman 70.3 Barcelona 2018
Sandra Sigurdardottir	F	35	01:09:36	00:09:12					2018	Ironman 70.3 Barcelona 2018
Omar Gudnason	M	40							2018	Ironman 70.3 Barcelona 2018
Sigthor Jonsson	M	40							2018	Ironman 70.3 Barcelona 2018
Runolfur Sveinbjornsson	M	40							2018	Ironman 70.3 Barcelona 2018
Gardar Thorsteinsson	M	40							2018	Ironman 70.3 Barcelona 2018
Gunnar Hardarson	M	40	00:34:53	00:05:04	03:00:51	00:03:26	01:38:50	05:23:04	2018	Ironman 70.3 Barcelona 2018
Arnar Ingolfsson	M	35	00:42:26	00:06:45	03:06:35	00:03:06	01:33:03	05:31:55	2018	Ironman 70.3 Barcelona 2018
Runa Egilsdottir	F	40	00:42:04	00:07:03	03:18:14	00:03:12	01:37:39	05:48:12	2018	Ironman 70.3 Barcelona 2018
Solvi Thordarson	M	35	00:47:01	00:08:28	02:57:09	00:02:35	01:53:41	05:48:54	2018	Ironman 70.3 Barcelona 2018
Gudrun Sigurdardottir	F	40	00:39:33	00:06:16	03:15:48	00:02:35	02:06:59	06:11:11	2018	Ironman 70.3 Barcelona 2018
Sigurdur Gylfason	M	45	00:40:19	00:05:29	03:06:43	00:03:29	02:18:29	06:14:29	2018	Ironman 70.3 Barcelona 2018
Jorunn Jonsdottir	F	40	00:38:21	00:06:06	03:14:50	00:03:05	02:13:49	06:16:11	2018	Ironman 70.3 Barcelona 2018
Loa Birna Birgisdottir	F	45	00:30:56	00:05:22	03:46:42	00:03:45	02:02:27	06:29:12	2018	Ironman 70.3 Barcelona 2018
Helgi Sigurgeirsson	M	50	00:44:07	00:05:54	03:22:55	00:06:06	02:12:16	06:31:18	2018	Ironman 70.3 Barcelona 2018
Berglind Berndsen	F	40	00:43:08	00:10:22	03:25:45	00:05:45	02:07:42	06:32:42	2018	Ironman 70.3 Barcelona 2018
Thora Gunnarsdottir	F	45	00:41:07	00:08:06	03:33:30	00:04:04	02:14:43	06:41:30	2018	Ironman 70.3 Barcelona 2018
Hilmar Thor Karlsson	M	45	00:35:05	00:07:05	03:34:33	00:04:44	02:20:28	06:41:55	2018	Ironman 70.3 Barcelona 2018
Johanna Rosa Agustsdottir	F	40	00:41:36	00:07:20	03:34:03	00:04:53	02:17:31	06:45:23	2018	Ironman 70.3 Barcelona 2018
Hildur Ãrnadottir	F	45	00:37:05	00:06:18	03:27:42	00:07:16	02:29:06	06:47:27	2018	Ironman 70.3 Barcelona 2018
Brynja Stefansdottir	F	40	00:41:36	00:07:30	03:19:13	00:07:52	02:38:16	06:54:27	2018	Ironman 70.3 Barcelona 2018
Maria Saemundsdottir	F	40	00:36:42	00:06:32	03:49:58	00:03:43	02:27:29	07:04:24	2018	Ironman 70.3 Barcelona 2018
Sigurjon Olafsson	M	45	00:35:25	00:06:36	04:23:51	00:04:54	01:58:48	07:09:34	2018	Ironman 70.3 Barcelona 2018
Helga Gardarsdottir	F	40	00:42:27	00:08:26	03:57:25	00:04:47	02:18:23	07:11:28	2018	Ironman 70.3 Barcelona 2018
Unnur Palsdottir	F	45	00:52:22	00:07:40	03:51:24	00:08:23	02:48:59	07:48:48	2018	Ironman 70.3 Barcelona 2018
Gunnar Simonarson	M	30							2018	Ironman 70.3 Jönköping 2018
Ãrni Einarsson	M	40							2018	Ironman 70.3 Jönköping 2018
Pall Olafsson	M	40	00:36:13	00:04:26	02:32:33	00:02:14	01:38:47	04:54:13	2018	Ironman 70.3 Jönköping 2018
Hjordis Olafsdottir	F	35	00:34:20	00:05:39	02:38:53	00:02:10	01:41:45	05:02:47	2018	Ironman 70.3 Jönköping 2018
Petur Sturla Bjarnason	M	35	00:39:45	00:05:36	02:53:50	00:03:10	01:28:28	05:10:49	2018	Ironman 70.3 Jönköping 2018
Ingi Gudmundsson	M	35	00:41:12	00:05:51	02:43:12	00:03:41	01:43:12	05:17:09	2018	Ironman 70.3 Jönköping 2018
Sverrir Rikardsson	M	30	00:38:52	00:08:25	02:37:04	00:03:28	01:56:08	05:23:58	2018	Ironman 70.3 Jönköping 2018
Kristbjorg Jonasdottir	F	45							2018	Ironman 70.3 Texas 2018
Glen Woods	M	50	00:52:29	00:06:06	03:38:06	00:06:51	03:00:11	07:43:43	2018	Ironman 70.3 Texas 2018
Hjordis Olafsdottir	F	35							2018	Ironman 70.3 World Championship 2018
Sigurdur Ragnarsson	M		00:25:24	00:02:27					2018	Ironman 70.3 Dun Laoghaire 2018
Sigurdur Ragnarsson	M		00:23:15	00:02:22	02:25:04	00:02:50	01:27:09	04:20:40	2018	Ironman 70.3 Gdynia 2018
Stefan Karl Saevarsson	M	35	00:24:56	00:03:49	02:25:34	00:02:39	01:27:44	04:24:42	2018	Ironman 70.3 Mallorca 2018
Geir Omarsson	M	40	00:29:20	00:03:23	02:33:23	00:02:31	01:27:42	04:36:19	2018	Ironman 70.3 Mallorca 2018
Gudmundur Bjornsson	M	40	00:32:55	00:06:11	03:03:02	00:04:50	01:40:18	05:27:16	2018	Ironman 70.3 Mallorca 2018
Haraldur Thordarson	M	35	00:33:30	00:05:43	03:06:02	00:06:08	02:15:41	06:07:04	2018	Ironman 70.3 Mallorca 2018
Sigurdur Orn Ragnarsson	M		00:28:20	00:02:48	02:15:53	00:03:14	01:35:39	04:25:54	2018	Ironman 70.3 Ruegen 2018
Guicharnaud Rannveig AnnaÂ	F	45	00:32:16	00:04:23	02:43:55	00:02:55	02:00:08	05:23:37	2018	Ironman 70.3 Lanzarote 2018
Guicharnaud Rannveig Anna	F	45	00:28:08	00:05:48	02:56:16	00:03:41	02:01:23	05:35:18	2018	Ironman 70.3 Italy Emilia-Romagna 2018
Anna Helgadottir	F	50	00:43:24	00:06:45	03:18:20	00:04:31	02:31:27	06:44:27	2018	Ironman 70.3 Edinburgh 2018
Gudrun Geirsdottir	F	50	00:53:21	00:10:44	03:36:33	00:04:48	02:29:39	07:15:05	2018	Ironman 70.3 Edinburgh 2018
Erwin Van Der Werve	M	40	00:44:19	00:12:34	02:44:24	01:22:55	01:41:10	06:45:22	2018	Ironman 70.3 Finland 2018
Einar Karlsson	M	50							2019	Ironman 70.3 Zell am See-Kaprun 2019
Sveinn Biering jonsson	M	35							2019	Ironman 70.3 Zell am See-Kaprun 2019
Inga Fridriksdottir	F	45							2019	Ironman 70.3 Zell am See-Kaprun 2019
Thora Gunnarsdottir	F	45							2019	Ironman 70.3 Zell am See-Kaprun 2019
Arna Hansen	F	45							2019	Ironman 70.3 Zell am See-Kaprun 2019
Maria Saemundsdottir	F	45							2019	Ironman 70.3 Zell am See-Kaprun 2019
Gunnar Leifur Jonasson	M	45	01:06:42	00:13:11					2019	Ironman 70.3 Zell am See-Kaprun 2019
Sigurdur Nikulasson	M	45	00:35:17	00:05:40	02:46:09	00:04:18	01:51:53	05:23:18	2019	Ironman 70.3 Zell am See-Kaprun 2019
Runar Bragason	M	45	00:47:01	00:05:22	02:41:34	00:04:32	01:49:44	05:28:12	2019	Ironman 70.3 Zell am See-Kaprun 2019
Ásgeir Thoroddsen	M	45	00:40:30	00:06:03	02:52:13	00:04:04	01:56:12	05:39:02	2019	Ironman 70.3 Zell am See-Kaprun 2019
Kjartan Long	M	45	00:44:19	00:05:56	02:54:52	00:04:25	02:02:36	05:52:09	2019	Ironman 70.3 Zell am See-Kaprun 2019
Berglind Bjorg Hardardottir	F	40	00:39:28	00:05:20	02:53:56	00:04:10	02:10:40	05:53:34	2019	Ironman 70.3 Zell am See-Kaprun 2019
Jon Bjornsson	M	50	00:44:14	00:06:08	02:50:38	00:06:24	02:09:30	05:56:55	2019	Ironman 70.3 Zell am See-Kaprun 2019
Harpa Vidisdottir	F	45	00:44:51	00:06:31	03:08:41	00:04:25	01:52:53	05:57:21	2019	Ironman 70.3 Zell am See-Kaprun 2019
Petur Gudmundsson	M	55	00:46:43	00:06:37	02:55:40	00:04:24	02:11:31	06:04:55	2019	Ironman 70.3 Zell am See-Kaprun 2019
Smari Thorvaldsson	M	45	00:39:08	00:05:44	02:59:58	00:04:26	02:18:09	06:07:25	2019	Ironman 70.3 Zell am See-Kaprun 2019
Sigrun Sveinbjornsdottir	F	45	00:43:15	00:07:47	03:10:30	00:05:41	02:04:09	06:11:21	2019	Ironman 70.3 Zell am See-Kaprun 2019
Ingibjorg Hronn Palmadottir	F	40	00:44:08	00:06:03	03:14:06	00:04:13	02:04:39	06:13:09	2019	Ironman 70.3 Zell am See-Kaprun 2019
Gardar Thorvardsson	M	45	00:46:01	00:06:20	03:16:37	00:04:33	02:00:19	06:13:49	2019	Ironman 70.3 Zell am See-Kaprun 2019
Magnus Stefansson	M	50	00:39:45	00:08:11	02:56:09	00:06:00	02:24:26	06:14:30	2019	Ironman 70.3 Zell am See-Kaprun 2019
Jon Ásgeir Haukdal Þorvaldsson	M	30	00:37:41	00:06:13	03:06:43	00:04:24	02:24:51	06:19:52	2019	Ironman 70.3 Zell am See-Kaprun 2019
Inga Dagmar Karlsdottir	F	45	00:42:01	00:06:43	03:08:47	00:04:55	02:17:59	06:20:24	2019	Ironman 70.3 Zell am See-Kaprun 2019
Thordur Thorvardarson	M	45	00:49:43	00:06:08	03:13:16	00:04:13	02:08:57	06:22:17	2019	Ironman 70.3 Zell am See-Kaprun 2019
Ísold Nordfjord	F	18	00:45:12	00:05:47	03:07:08	00:03:38	02:23:02	06:24:46	2019	Ironman 70.3 Zell am See-Kaprun 2019
Arna Torfadottir	F	40	01:02:33	00:05:43	03:03:59	00:04:04	02:15:04	06:31:23	2019	Ironman 70.3 Zell am See-Kaprun 2019
Daniel Arnason	M	40	00:39:35	00:06:11	02:59:02	00:05:20	02:42:44	06:32:52	2019	Ironman 70.3 Zell am See-Kaprun 2019
Sveinn Þrainn Gudmundsson	M	18	00:40:22	00:05:56	03:04:37	00:03:41	02:40:17	06:34:53	2019	Ironman 70.3 Zell am See-Kaprun 2019
Thor Vilhelm Jonatansson	M	45	00:42:22	00:08:06	03:24:31	00:05:03	02:15:51	06:35:53	2019	Ironman 70.3 Zell am See-Kaprun 2019
Emil Orn Arnason	M	18	00:46:32	00:07:32	03:15:43	00:06:07	02:20:14	06:36:08	2019	Ironman 70.3 Zell am See-Kaprun 2019
Gudjon Nordfjord	M	45	00:41:15	00:08:06	03:19:14	00:05:35	02:23:12	06:37:23	2019	Ironman 70.3 Zell am See-Kaprun 2019
Elsa Maria Davidsdottir	F	45	00:47:57	00:08:02	03:13:46	00:05:50	02:25:19	06:40:54	2019	Ironman 70.3 Zell am See-Kaprun 2019
Bylgja Kaernested	F	45	00:42:30	00:07:57	03:31:54	00:09:01	02:11:46	06:43:07	2019	Ironman 70.3 Zell am See-Kaprun 2019
Hjalmar Helgason	M	40	00:37:54	00:06:44	03:21:45	00:06:01	02:36:01	06:48:27	2019	Ironman 70.3 Zell am See-Kaprun 2019
Ingibjorg Gunnarsdottir	F	55	00:39:06	00:08:56	03:31:41	00:10:00	02:19:18	06:49:01	2019	Ironman 70.3 Zell am See-Kaprun 2019
Sigurros Hallgrimsdottir	F	40	00:42:20	00:07:05	03:28:39	00:09:47	02:25:31	06:53:22	2019	Ironman 70.3 Zell am See-Kaprun 2019
Ragnheidur Stefansdottir	F	50	00:53:08	00:06:10	03:34:45	00:05:37	02:14:48	06:54:28	2019	Ironman 70.3 Zell am See-Kaprun 2019
Jon Gunnar Tynes Olason	M	50	00:43:27	00:08:23	03:21:51	00:07:22	02:36:20	06:57:23	2019	Ironman 70.3 Zell am See-Kaprun 2019
Solveig Ragnarsdottir	F	45	00:45:02	00:08:03	03:34:51	00:07:15	02:26:09	07:01:20	2019	Ironman 70.3 Zell am See-Kaprun 2019
Inga Rut Jonsdottir	F	40	00:49:25	00:08:04	03:39:40	00:06:07	02:30:40	07:13:55	2019	Ironman 70.3 Zell am See-Kaprun 2019
Sigrun Stefania Kolsoe	F	50	00:50:41	00:08:33	03:47:38	00:06:59	02:30:57	07:24:48	2019	Ironman 70.3 Zell am See-Kaprun 2019
Sigridur Sveinsdottir	F	45	00:51:14	00:06:24	03:59:07	00:08:27	02:35:43	07:40:53	2019	Ironman 70.3 Zell am See-Kaprun 2019
Ida Braga Omarsdottir	F	45	01:03:07	00:08:21	03:49:35	00:07:29	02:32:39	07:41:12	2019	Ironman 70.3 Zell am See-Kaprun 2019
Steingerdur Sigtryggsdottir	F	45	00:54:16	00:08:06	04:01:53	00:06:28	02:31:57	07:42:40	2019	Ironman 70.3 Zell am See-Kaprun 2019
Runa Gizurarson	F	45	00:46:47	00:07:05	04:08:04	00:09:23	02:33:51	07:45:10	2019	Ironman 70.3 Zell am See-Kaprun 2019
Unnur Palsdottir	F	45	00:46:21	00:07:46	03:44:01	00:06:11	03:04:05	07:48:24	2019	Ironman 70.3 Zell am See-Kaprun 2019
Gunnhildur Jonsdottir	F	45	00:58:41	00:08:11	03:50:21	00:09:41	02:53:51	08:00:46	2019	Ironman 70.3 Zell am See-Kaprun 2019
Gudrun Geirsdottir	F	50							2019	Ironman 70.3 Jönköping 2019
Yngvi Bjornsson	M	55							2019	Ironman 70.3 Jönköping 2019
Þordis Jonsdottir	F	25							2019	Ironman 70.3 Jönköping 2019
Sigurdur Orn Ragnarsson	M		00:24:17						2019	Ironman 70.3 Jönköping 2019
Jon Jonsson	M	40							2019	Ironman 70.3 Jönköping 2019
Thorunn Gunnarsdottir	F	45	00:32:03		02:46:52		01:43:58	05:10:54	2019	Ironman 70.3 Jönköping 2019
Sigurjon Ólafsson	M	50	00:38:50		02:43:59		01:49:23	05:19:32	2019	Ironman 70.3 Jönköping 2019
Ólafur Ólafsson	M	45	00:36:58		02:47:08		01:51:04	05:22:58	2019	Ironman 70.3 Jönköping 2019
Finnbogi Thorarinsson	M	55	00:36:51		02:46:03		01:59:43	05:32:17	2019	Ironman 70.3 Jönköping 2019
Hilmar Thor Karlsson	M	45	00:46:38		02:50:35		01:53:12	05:40:24	2019	Ironman 70.3 Jönköping 2019
Jon Orri Jonsson	M	25	00:41:22		02:50:31		02:02:09	05:42:03	2019	Ironman 70.3 Jönköping 2019
Helgi Sigurgeirsson	M	50	00:45:18		02:46:35		02:03:04	05:45:44	2019	Ironman 70.3 Jönköping 2019
Loa Birna Birgisdottir	F	45	00:33:09		03:16:11		02:02:09	06:00:52	2019	Ironman 70.3 Jönköping 2019
Gestur Hreinsson	M	55	00:47:29		03:07:05		01:54:07	06:02:12	2019	Ironman 70.3 Jönköping 2019
Leifur Halldorsson	M	50	00:39:25		02:56:38		02:16:41	06:02:32	2019	Ironman 70.3 Jönköping 2019
Saedis Jonsdottir	F	18	00:41:49		03:10:50		01:58:37	06:03:17	2019	Ironman 70.3 Jönköping 2019
Stefan Sigurdarson	M	40	00:48:46		02:42:10		02:21:17	06:07:10	2019	Ironman 70.3 Jönköping 2019
Brynja Stefansdottir	F	45	00:47:47		02:49:01		02:19:57	06:08:40	2019	Ironman 70.3 Jönköping 2019
Hlin Magnusdottir	F	50	00:53:04		03:02:43		02:01:37	06:09:06	2019	Ironman 70.3 Jönköping 2019
Hildur Árnadottir	F	45	00:39:18		03:01:27		02:19:04	06:09:56	2019	Ironman 70.3 Jönköping 2019
Gudrun Jonsdottir	F	45	00:58:47		03:40:08		02:11:06	07:02:14	2019	Ironman 70.3 Jönköping 2019
Óskar Jonsson	M	55							2019	Ironman 70.3 Barcelona 2019
Gudmundur Bjornsson	M	40							2019	Ironman 70.3 Barcelona 2019
Baldur Bragason	M	50							2019	Ironman 70.3 Barcelona 2019
Heimir Einarsson	M	55							2019	Ironman 70.3 Barcelona 2019
Sigurdur Orn Ragnarsson	M		00:23:11		02:37:07		01:19:20	04:24:07	2019	Ironman 70.3 Barcelona 2019
Guicharnaud Rannveig Anna	F	45	00:32:05		03:03:38		01:55:48	05:37:55	2019	Ironman 70.3 Barcelona 2019
Águst Ævar Gunnarsson	M	40	00:40:10		03:08:21		01:39:10	05:39:42	2019	Ironman 70.3 Barcelona 2019
Kristin Vala Matthiasdottir	F	35	00:33:56		03:15:02		01:50:05	05:46:13	2019	Ironman 70.3 Barcelona 2019
Rafn Thorsteinsson	M	25	00:35:02		03:26:43		01:43:18	05:57:19	2019	Ironman 70.3 Barcelona 2019
Haraldur Thordarson	M	40	00:36:04		03:15:34		02:02:40	06:03:08	2019	Ironman 70.3 Barcelona 2019
Einar Sturla Moinichen	M	40	00:43:54		03:35:31		01:49:44	06:21:57	2019	Ironman 70.3 Barcelona 2019
Sindri Bergmann	M	45	00:39:08		03:35:45		02:01:21	06:26:55	2019	Ironman 70.3 Barcelona 2019
Leo Einarsson	M	35	00:51:48		03:25:20		02:10:44	06:40:47	2019	Ironman 70.3 Barcelona 2019
Valthor Valdimarsson	M	40	00:38:09		03:33:06		02:37:22	07:03:35	2019	Ironman 70.3 Barcelona 2019
Jon Águst Gunnlaugsson	M	55	00:42:36		03:50:18		02:19:29	07:05:13	2019	Ironman 70.3 Barcelona 2019
Einar Jonsson	M	18	00:33:58		03:56:00		02:50:38	07:34:47	2019	Ironman 70.3 Barcelona 2019
Runa Egilsdottir	F	40		00:00:00		00:00:00			2019	Ironman 70.3 Luxembourg-Region Moselle 2019
Steinarr Bjornsson	M	45		00:00:00		00:00:00			2019	Ironman 70.3 Elsinore 2019
Gudrun Jonina Sveinsdottir	F	45		00:00:00		00:00:00			2019	Ironman 70.3 Elsinore 2019
Kristjana Bergsdottir	F	65		00:00:00		00:00:00			2019	Ironman 70.3 Elsinore 2019
Kristbjorg Jonasdottir	F	45		00:00:00		00:00:00			2019	Ironman 70.3 Elsinore 2019
Petur Heimisson	M	65		00:00:00		00:00:00			2019	Ironman 70.3 Elsinore 2019
Ãsa Magnusdottir	F	55		00:00:00		00:00:00			2019	Ironman 70.3 Elsinore 2019
Ariel Petursson	M	30		00:00:00		00:00:00			2019	Ironman 70.3 Elsinore 2019
Sigurjon Bjornsson	M	35	00:30:02	00:06:10	02:23:50	00:01:51	01:47:57	04:49:51	2019	Ironman 70.3 Elsinore 2019
Hoskuldur Borgthorsson	M	40	00:36:06	00:07:10	02:29:31	00:03:11	01:49:25	05:05:24	2019	Ironman 70.3 Elsinore 2019
Trausti Valdimarsson	M	60	00:35:06	00:05:49	02:36:35	00:01:50	01:46:35	05:05:54	2019	Ironman 70.3 Elsinore 2019
Gudjon Karl Traustason	M	40	00:31:47	00:05:46	02:40:37	00:02:38	01:55:32	05:16:21	2019	Ironman 70.3 Elsinore 2019
Rakel Jensdottir	F	35	00:36:31	00:06:28	02:50:04	00:02:37	01:45:22	05:21:02	2019	Ironman 70.3 Elsinore 2019
Halldor Snorrason	M	50	00:37:06	00:06:06	02:37:40	00:03:15	01:59:54	05:24:02	2019	Ironman 70.3 Elsinore 2019
Erlendur Birgisson	M	60	00:42:04	00:09:35	02:47:20	00:04:36	02:20:58	06:04:32	2019	Ironman 70.3 Elsinore 2019
Gudmundur Ingi Gudmundsson	M	55	00:36:13	00:08:19	03:05:39	00:02:58	02:18:38	06:11:47	2019	Ironman 70.3 Elsinore 2019
Margret Valdimarsdottir	F	45	00:38:05	00:10:55	02:45:30	00:05:21	02:39:46	06:19:37	2019	Ironman 70.3 Elsinore 2019
Thor Thorfinnsson	M	60	00:39:12	00:12:43	03:12:21	00:06:32	02:18:04	06:28:53	2019	Ironman 70.3 Elsinore 2019
Hrafnkell Elisson	M	40	00:42:22	00:16:22	03:16:35	00:11:13	02:21:54	06:48:25	2019	Ironman 70.3 Elsinore 2019
Svanhvit Michelsen	F	45	00:41:39	00:10:22	03:05:26	00:04:13	02:58:34	07:00:16	2019	Ironman 70.3 Elsinore 2019
Jakob Antonsson	M	45	00:36:51	00:49:35	03:07:37	00:04:48	02:32:49	07:11:40	2019	Ironman 70.3 Elsinore 2019
Ãsgeir Kristjansson	M	65	00:57:50	00:13:08	03:14:26	00:08:27	02:43:40	07:17:31	2019	Ironman 70.3 Elsinore 2019
Gudbjorg Bjornsdottir	F	50	00:57:44	00:12:58	03:43:09	00:07:18	02:28:00	07:29:09	2019	Ironman 70.3 Elsinore 2019
Margaret Johnson	F	55	01:04:41	00:17:07	04:00:41	00:08:42	02:39:48	08:11:00	2019	Ironman 70.3 Elsinore 2019
Sigurdur Ragnarsson	M		00:12:20	00:03:55					2019	Ironman 70.3 Weymouth 2019
Gudmundur Kristjansson	M	45		00:00:00		00:00:00			2019	Ironman 70.3 Haugesund 2019
Ingi Poulsen	M	35	00:44:24		02:58:22				2019	Ironman 70.3 Texas 2019
Sigurdur Orn ragnarsson	M				02:31:57	00:03:31	01:26:59	04:02:27	2019	Ironman 70.3 Lanzarote 2019
Sigurdur Orn Ragnarsson	M		00:23:40	00:02:34	02:14:55	00:02:17	01:20:06	04:03:32	2019	Ironman 70.3 Finland 2019
Eirikur Johannsson	M	40	00:32:46	00:05:34	02:31:11	00:04:34	01:55:50	05:09:54	2019	Ironman 70.3 Italy Emilia-Romagna 2019
Asta Reynisdottir Parker	F	45	00:38:58		02:48:35		01:44:22	05:18:56	2019	Ironman 70.3 Oman 2019
Runa Egilsdottir	F	40	00:43:19	00:07:08	02:54:12	00:03:04	01:35:07	05:22:50	2019	Ironman 70.3 Portugal - Cascais 2019
Þorsteinn Masson	M	40	00:40:35		02:42:43		01:55:12	05:24:36	2019	Ironman 70.3 Bintan 2019
